time,server,avgtotal
2025-01-12 21:54:30,cecbep1-02,3145640.0
2025-01-12 21:55:00,cecbep1-02,3160657.0
2025-01-12 21:55:30,cecbep1-02,3132574.0
2025-01-12 21:56:00,cecbep1-02,3170347.0
2025-01-12 21:56:30,cecbep1-02,3142497.0
2025-01-12 21:57:00,cecbep1-02,3147401.0
2025-01-12 21:57:30,cecbep1-02,3139105.0
2025-01-12 21:58:00,cecbep1-02,3152849.0
2025-01-12 21:58:30,cecbep1-02,3156606.0
2025-01-12 21:59:00,cecbep1-02,3136926.0
2025-01-12 21:59:30,cecbep1-02,3158624.0
2025-01-12 22:00:00,cecbep1-02,3171456.0
2025-01-12 22:00:30,cecbep1-02,3161397.0
2025-01-12 20:00:00,cecbep1-03,3435203.0
2025-01-12 20:00:30,cecbep1-03,3387006.0
2025-01-12 20:01:00,cecbep1-03,3405023.0
2025-01-12 20:01:30,cecbep1-03,3419884.0
2025-01-12 20:02:00,cecbep1-03,3414731.0
2025-01-12 20:02:30,cecbep1-03,3391017.0
2025-01-12 20:03:00,cecbep1-03,3425179.0
2025-01-12 20:03:30,cecbep1-03,3389111.0
2025-01-12 20:04:00,cecbep1-03,3400178.0
2025-01-12 20:04:30,cecbep1-03,3480621.0
2025-01-12 20:05:00,cecbep1-03,3429743.0
2025-01-12 20:05:30,cecbep1-03,3460730.0
2025-01-12 20:06:00,cecbep1-03,3448247.0
2025-01-12 20:06:30,cecbep1-03,3493048.0
2025-01-12 20:07:00,cecbep1-03,3440032.0
2025-01-12 20:07:30,cecbep1-03,3423713.0
2025-01-12 20:08:00,cecbep1-03,3459083.0
2025-01-12 20:08:30,cecbep1-03,3432773.0
2025-01-12 20:09:00,cecbep1-03,3430702.0
2025-01-12 20:09:30,cecbep1-03,3449273.0
2025-01-12 20:10:00,cecbep1-03,3412711.0
2025-01-12 20:10:30,cecbep1-03,3498873.0
2025-01-12 20:11:00,cecbep1-03,3484146.0
2025-01-12 20:11:30,cecbep1-03,3470962.0
2025-01-12 20:12:00,cecbep1-03,3440434.0
2025-01-12 20:12:30,cecbep1-03,3487511.0
2025-01-12 20:13:00,cecbep1-03,3490428.0
2025-01-12 20:13:30,cecbep1-03,3495997.0
2025-01-12 20:14:00,cecbep1-03,3453382.0
2025-01-12 20:14:30,cecbep1-03,3453425.0
2025-01-12 20:15:00,cecbep1-03,3470586.0
2025-01-12 20:15:30,cecbep1-03,3477937.0
