time,server,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_http_vod,avg_bitrate_protocol_iplus_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_live,avg_bitrate_protocol_unknown_vod
2025-01-12 20:00:30,ceihta1-19,4177575.0,4263309.0,3521951.0,1024929.0,,,6000000.0,5191338.0,,0.0
2025-01-12 20:00:30,ceihta1-20,4228201.0,3095334.0,1630434.0,621553.0,,,6000000.0,4478763.0,,0.0
2025-01-12 20:00:30,ceimno1-01,4301426.0,5579615.0,2261101.0,2139118.0,,,5668038.0,4887124.0,,0.0
2025-01-12 20:00:30,ceimno1-02,4418262.0,5148501.0,2212741.0,2270270.0,,,5949666.0,5040533.0,,0.0
2025-01-12 20:00:30,ceimno1-03,4247854.0,6369769.0,1961376.0,2726734.0,,,5725317.0,5190600.0,,0.0
2025-01-12 20:00:30,ceimno1-04,4246377.0,4398083.0,2471868.0,2165096.0,,,5677005.0,5197644.0,,0.0
2025-01-12 20:00:30,ceimno1-05,4387446.0,2866893.0,2035881.0,2008960.0,,,5748791.0,5022815.0,,0.0
2025-01-12 20:00:30,ceimno1-06,3663230.0,4217433.0,2142968.0,2175990.0,,,5914241.0,4998162.0,,0.0
2025-01-12 20:00:30,ceimno1-07,4275687.0,5505865.0,1923480.0,2643591.0,,,5519449.0,4851388.0,,0.0
2025-01-12 20:00:30,ceimno1-08,4542064.0,5254368.0,2117610.0,2508771.0,,,5932655.0,5189402.0,,0.0
2025-01-12 20:00:30,ceimno1-09,4453902.0,4816799.0,2003708.0,2180744.0,,,5787908.0,5212691.0,,0.0
2025-01-12 20:00:30,ceimno1-10,4341631.0,6144164.0,2073684.0,2389377.0,,,5895060.0,4822595.0,,0.0
2025-01-12 20:00:30,ceimno1-11,4204851.0,1896269.0,1985770.0,2241253.0,,,5891636.0,5431578.0,,0.0
2025-01-12 20:00:30,ceimno1-12,4445331.0,6143098.0,2176017.0,2207080.0,,,5231576.0,4690280.0,,0.0
2025-01-12 20:00:30,ceimno1-13,0.0,3904761.0,2000000.0,,,,6000000.0,,,
2025-01-12 20:00:30,ceimno1-14,4499802.0,5441180.0,2104919.0,2509157.0,,,5762320.0,5030961.0,,0.0
2025-01-12 20:00:30,ceimno1-15,4488381.0,5477564.0,2114090.0,2458500.0,,,5803738.0,5099435.0,,0.0
2025-01-12 20:00:30,ceimno1-16,4408990.0,5678097.0,2024635.0,2150684.0,,,5711667.0,5188888.0,,0.0
2025-01-12 20:00:30,ceimno1-17,4288175.0,5910732.0,2115265.0,2273584.0,,,5759566.0,5062195.0,,0.0
2025-01-12 20:00:30,ceimno1-18,4449555.0,343179.0,2451741.0,2228465.0,,,5798977.0,5167765.0,,0.0
2025-01-12 20:00:30,ceimno1-19,4235164.0,6231837.0,2074080.0,1856457.0,,,5563538.0,4941472.0,,0.0
2025-01-12 20:00:30,ceimpe1-01,4734585.0,2633942.0,2590445.0,2719498.0,,,5707574.0,5099122.0,,
2025-01-12 20:00:30,ceimpe1-02,4674219.0,1952043.0,3128301.0,2348514.0,,,5406628.0,5202996.0,,
2025-01-12 20:00:30,ceimpe1-03,4625331.0,194753.0,2373791.0,3430000.0,,,5536423.0,4922741.0,,0.0
2025-01-12 20:00:30,ceimpe1-04,4226050.0,3682469.0,2285023.0,2273076.0,,,5145372.0,5075244.0,,0.0
2025-01-12 20:00:30,ceimpe1-05,4703667.0,4649425.0,2483474.0,2150757.0,,,5504810.0,4915555.0,,0.0
2025-01-12 20:00:30,ceimpe1-06,3684523.0,5287927.0,1646663.0,2329618.0,,,5079032.0,4905656.0,,0.0
2025-01-12 20:00:30,ceimpe1-07,4701401.0,4736375.0,2146259.0,2702652.0,,,5460663.0,5145129.0,,0.0
2025-01-12 20:00:30,ceimpe1-08,4244496.0,5023851.0,2179173.0,2180971.0,,,5276604.0,5051510.0,,0.0
2025-01-12 20:00:30,ceimpe1-09,4406265.0,4724132.0,2213834.0,1547242.0,,,5724872.0,5134987.0,,0.0
2025-01-12 20:00:30,ceimpe1-10,4272987.0,4524045.0,2226575.0,2863821.0,,,4684055.0,5294241.0,,0.0
2025-01-12 20:00:30,ceimpe1-11,4645181.0,3300273.0,2123467.0,2210777.0,,,5625990.0,5103180.0,,0.0
2025-01-12 20:00:30,ceimpe1-12,4075980.0,3566739.0,2105032.0,3883636.0,,,5182987.0,4871428.0,,0.0
2025-01-12 20:00:30,ceimpe1-13,4438441.0,5039661.0,2052665.0,2329469.0,,,5780735.0,5175817.0,,0.0
2025-01-12 20:00:30,ceimpe1-14,3977953.0,3973555.0,1995681.0,2475412.0,,,5256607.0,5167697.0,,0.0
2025-01-12 20:00:30,ceimpe1-15,4624808.0,4213493.0,2511931.0,3521568.0,,,5767180.0,5170408.0,,0.0
2025-01-12 20:00:30,ceimpe1-16,3195608.0,4039336.0,1424972.0,2125000.0,,,4743458.0,4748762.0,,0.0
2025-01-12 20:00:30,ceimsm1-01,4425633.0,7270391.0,1885070.0,1973333.0,,,5728272.0,5000000.0,,0.0
2025-01-12 20:00:30,ceimsm1-02,4463404.0,7755912.0,2186022.0,2600000.0,,,5833186.0,4632573.0,,0.0
2025-01-12 20:00:30,ceimsm1-03,4477116.0,7378844.0,2097002.0,3531914.0,,,5678341.0,5000000.0,,0.0
2025-01-12 20:00:30,ceimsm1-04,4170694.0,7609240.0,2089787.0,2395833.0,,,5770579.0,5000000.0,,0.0
2025-01-12 20:00:30,ceimsm1-05,4629262.0,7909600.0,2013057.0,2681818.0,,,5553863.0,5000000.0,,0.0
2025-01-12 20:00:30,ceimsm1-06,4477976.0,7651209.0,2057107.0,2000000.0,,,5788678.0,5000000.0,,0.0
